Student_id,Time_used(seconds),Sex,County,Total_Rater_1,Total_Rater_2,Total_Average,Asp_25_Rater_1,Asp_25_Rater_2,Asp_28_Rater_1,Asp_28_Rater_2,Asp_28_Average,Asp_34_Rater_1,Asp_34_Rater_2,Asp_34_Average,Asp_35_Rater_1,Asp_35_Rater_2,Asp_39_Rater_1,Asp_39_Rater_2,Asp_40_Rater_1,Asp_40_Rater_2,Asp_40_Average,Asp_41_Rater_1,Asp_41_Rater_2,Asp_42_Rater_1,Asp_42_Rater_2,Asp_42_Average,Asp_43_Rater_1,Asp_43_Rater_2,Asp_43_Average,word_count,sent_count,word_len,sent_len,LIX,SMOG,FK,lemma_count,TTR,RTTR,Uber,Maas,MTLD,CVV,LD,A,D,I,J,K,N,P,S,V,SV_ratio,F-index,A_TTR,D_TTR,J_TTR,K_TTR,P_TTR,S_TTR,V_TTR,S_abstr,rare_5000,rare_4000,rare_3000,rare_2000,rare_1000,n_cases,Nom,Gen,Par,Add,Ill,AddIll,Ine,Ela,All,Ade,Abl,Tra,Ter,Ess,Abe,Com,Sing,Plur,S_cases,S_Plur,A_cases,A_Plur,A_Pos,A_Cmp,A_Sup,P_cases,P_Plur,P_Prs,P_Reflex,P_Dem,P_Ind,P_IntRel,V_Fin,V_Ind,V_Cnd,V_Imp,V_Prs1,V_Prs2,V_Prs3,V_Pres,V_Past,V_Sing,V_Plur,V_Neg,V_Pass,V_NonFin,V_Inf,V_Part,V_Conv,J_Sub,K_Post,replaced_words,replaced_word_ratio,wordorder_errors,wordorder_error_ratio,missing_words,missing_word_ratio,unnecessary_words,unnecessary_word_ratio,whitespace_errors,whitespace_error_ratio,misc_errors,misc_error_ratio,replaced_punct,replaced_punct_ratio,unnecessary_punct,unnecessary_punct_ratio,missing_punct,missing_punct_ratio,error_count,errors_per_word,errors_per_sent,spelling_errors,spell_error_word_ratio,paragraph_count,mean_word_count,mean_sent_count,std_word_count,std_sent_count,diff_word_count,diff_sent_count
id_ NoWCQl,1926,M,Lääne-Viru maakond,12.0,8,10.0,1.0,0,2.0,2,2.0,2.0,1,1.5,3.0,1,1.0,0,2.0,3,2.5,0.0,0,1.0,1,1.0,0.0,0,0.0,200,11,5.875,18.18181818,58,17.94624235,19.58490909090909,117,0.585,8.27314934,52.35943454,0.019098755,215.3846154,2.5,0.6,0.09,0.105,0.0,0.105,0.01,0.005,0.09,0.345,0.25,1.38,50.0,0.833333333,0.857142857,0.238095238,1.0,0.5,0.652173913,0.5,1.789473684,0.08,0.09,0.135,0.155,0.21,10,0.405660377,0.150943396,0.169811321,0.009433962,0.0,0.009433962,0.056603774,0.08490566,0.028301887,0.037735849,0.0,0.028301887,0.0,0.0,0.0,0.018867925,0.716981132,0.273584906,10,0.246376812,7,0.333333333,0.777777778,0.222222222,0.0,6,0.277777778,0.222222222,0.111111111,0.277777778,0.111111111,0.277777778,0.66,0.64,0.02,0.0,0.1,0.0,0.34,0.6,0.1,0.38,0.06,0.18,0.04,0.16,0.12,0.04,0.0,0.476190476,1.0,9,0.3,1,0.033,1,0.033,0,0.0,6,0.2,5,0.167,0,0.0,0,0.0,8,0.267,30,0.15,2.727272727,8,0.04,5,39.6,2.0,20.851858430365382,1.224744871391589,50,3
id_ ToaxRb,1720,M,Lääne-Viru maakond,13.0,8,10.5,2.0,1,2.0,1,1.5,2.0,1,1.5,2.0,1,2.0,2,2.0,1,1.5,1.0,1,0.0,0,0.0,0.0,0,0.0,194,12,5.974226804,16.16666667,54,17.69380237,18.63355670103093,103,0.530927835,7.394969034,43.83043913,0.022815195,108.9122807,2.34520788,0.56185567,0.077319588,0.159793814,0.0,0.118556701,0.015463918,0.0,0.077319588,0.324742268,0.226804124,1.431818182,47.68041237,0.733333333,0.64516129,0.347826087,0.666666667,0.466666667,0.555555556,0.5,2.0,0.077319588,0.097938144,0.144329897,0.180412371,0.226804124,9,0.322580645,0.225806452,0.129032258,0.010752688,0.0,0.010752688,0.086021505,0.010752688,0.0,0.096774194,0.0,0.032258065,0.0,0.0,0.0,0.075268817,0.709677419,0.279569892,9,0.285714286,4,0.2,0.933333333,0.066666667,0.0,6,0.333333333,0.0,0.0,0.466666667,0.533333333,0.0,0.545454545,0.477272727,0.068181818,0.0,0.0,0.0,0.386363636,0.522727273,0.045454545,0.25,0.136363636,0.090909091,0.022727273,0.386363636,0.340909091,0.022727273,0.022727273,0.347826087,1.0,9,0.391,1,0.043,0,0.0,1,0.043,0,0.0,5,0.217,0,0.0,0,0.0,7,0.304,23,0.118556701,1.916666667,4,0.021,5,38.0,2.2,34.978564864785405,1.6431676725154984,85,4
id_ jXbTTE,956,M,Lääne-Viru maakond,13.0,16,14.5,2.0,1,2.0,3,2.5,2.0,1,1.5,0.0,0,1.0,1,2.0,3,2.5,0.0,1,2.0,3,2.5,2.0,3,2.5,182,14,5.675824176,13.0,43,14.24434021,15.60857142857143,116,0.635359116,8.547882682,59.58214847,0.016783551,208.4790909,2.156655464,0.546961326,0.087912088,0.148351648,0.0,0.087912088,0.021978022,0.010989011,0.076923077,0.32967033,0.236263736,1.395348837,48.9010989,0.9375,0.666666667,0.375,1.0,0.714285714,0.7,0.465116279,1.54,0.120879121,0.142857143,0.159340659,0.181318681,0.225274725,10,0.326086957,0.206521739,0.217391304,0.02173913,0.0,0.02173913,0.065217391,0.02173913,0.043478261,0.065217391,0.0,0.02173913,0.0,0.0,0.0,0.010869565,0.760869565,0.239130435,10,0.3,5,0.0625,0.875,0.125,0.0,4,0.214285714,5.55112e-17,0.357142857,0.214285714,0.285714286,0.142857143,0.604651163,0.558139535,0.046511628,0.0,0.0,0.0,0.348837209,0.581395349,0.023255814,0.209302326,0.139534884,0.162790698,0.046511628,0.209302326,0.186046512,0.0,0.023255814,0.25,0.75,6,0.5,1,0.083,0,0.0,1,0.083,0,0.0,2,0.167,0,0.0,1,0.083,1,0.083,12,0.065934066,0.857142857,1,0.005,3,57.66666666666666,4.333333333333333,39.52636251077669,2.886751345948129,77,5
id_ L5BcGl,2613,N,Lääne-Viru maakond,14.0,13,13.5,2.0,1,1.0,1,1.0,2.0,2,2.0,2.0,1,2.0,1,2.0,2,2.0,1.0,1,1.0,2,1.5,1.0,2,1.5,239,15,5.656903766,15.93333333,50,16.48601716,16.93948117154812,134,0.560669456,8.667739447,51.83273748,0.019292826,249.904375,2.556038602,0.510460251,0.10041841,0.154811715,0.0,0.10041841,0.012552301,0.0,0.117154812,0.263598326,0.251046025,1.05,42.67782427,0.708333333,0.837837838,0.291666667,1.0,0.285714286,0.666666667,0.466666667,2.0,0.09623431,0.117154812,0.129707113,0.142259414,0.179916318,9,0.373913043,0.208695652,0.139130435,0.017391304,0.0,0.017391304,0.008695652,0.0,0.026086957,0.052173913,0.0,0.156521739,0.0,0.0,0.0,0.017391304,0.782608696,0.217391304,8,0.206349206,5,0.25,0.916666667,0.083333333,0.0,7,0.214285714,0.178571429,0.178571429,0.357142857,0.178571429,0.107142857,0.6,0.55,0.05,0.0,0.0,0.016666667,0.4,0.6,0.033333333,0.333333333,0.083333333,0.1,0.066666667,0.25,0.216666667,0.033333333,0.0,0.375,0.666666667,6,0.273,1,0.045,0,0.0,3,0.136,4,0.182,4,0.182,0,0.0,2,0.091,2,0.091,22,0.092050209,1.466666667,5,0.021,4,59.25,3.5,35.321145696782445,1.2909944487358056,82,3
id_ 0yOL6w,1615,M,Lääne-Viru maakond,22.0,25,23.5,2.0,1,2.0,3,2.5,3.0,3,3.0,3.0,3,2.0,3,3.0,3,3.0,2.0,3,3.0,3,3.0,2.0,3,2.5,236,16,6.330508475,14.75,56,16.97588252,18.9625,145,0.61440678,9.438696046,61.28839403,0.016316303,294.2430189,2.997074597,0.631355932,0.11440678,0.11440678,0.0,0.101694915,0.008474576,0.0,0.101694915,0.31779661,0.241525424,1.315789474,49.15254237,0.777777778,0.814814815,0.291666667,1.0,0.5,0.653333333,0.561403509,1.839285714,0.131355932,0.139830508,0.173728814,0.220338983,0.296610169,11,0.333333333,0.166666667,0.103174603,0.007936508,0.0,0.007936508,0.047619048,0.071428571,0.055555556,0.103174603,0.0,0.079365079,0.0,0.007936508,0.0,0.015873016,0.682539683,0.30952381,10,0.36,9,0.222222222,1.0,0.0,0.0,7,0.25,0.208333333,0.041666667,0.291666667,0.25,0.208333333,0.684210526,0.596491228,0.087719298,0.0,0.0,0.0,0.543859649,0.684210526,0.01754386,0.403508772,0.140350877,0.087719298,0.01754386,0.157894737,0.140350877,0.01754386,0.0,0.333333333,1.0,2,0.286,2,0.286,0,0.0,0,0.0,0,0.0,1,0.143,0,0.0,2,0.286,0,0.0,7,0.029661017,0.4375,1,0.004,4,58.25,3.75,32.836717253708535,2.362907813126304,69,5
id_ DHRSgL,2716,M,Lääne-Viru maakond,14.0,14,14.0,2.0,1,2.0,2,2.0,2.0,2,2.0,1.0,2,1.0,2,2.0,2,2.0,1.0,1,1.0,1,1.0,2.0,1,1.5,255,18,5.647058824,14.16666667,43,15.09711787,16.542843137254902,120,0.470588235,7.514691493,40.73593836,0.024548348,137.4178027,2.766992953,0.498039216,0.074509804,0.156862745,0.0,0.08627451,0.015686275,0.0,0.109803922,0.243137255,0.31372549,0.775,37.64705882,0.842105263,0.575,0.318181818,1.0,0.285714286,0.451612903,0.4375,1.384615385,0.023529412,0.047058824,0.066666667,0.094117647,0.129411765,11,0.321100917,0.146788991,0.183486239,0.018348624,0.0,0.018348624,0.137614679,0.009174312,0.073394495,0.036697248,0.0,0.027522936,0.009174312,0.0,0.0,0.018348624,0.614678899,0.366972477,10,0.403225806,5,0.368421053,0.947368421,0.052631579,0.0,7,0.285714286,0.071428571,0.178571429,0.285714286,0.178571429,0.285714286,0.5625,0.525,0.0375,0.0,0.0,0.0,0.3375,0.5625,0.0625,0.2375,0.1,0.1125,0.125,0.275,0.1875,0.0625,0.025,0.272727273,0.75,7,0.304,2,0.087,0,0.0,0,0.0,1,0.043,3,0.13,0,0.0,1,0.043,9,0.391,23,0.090196078,1.277777778,3,0.012,5,50.6,3.4,24.83545852204061,1.140175425099138,60,3
id_ BuLD6A,1567,M,Lääne-Viru maakond,5.0,10,7.5,1.0,1,1.0,1,1.0,1.0,3,2.0,1.0,1,1.0,1,0.0,2,1.0,0.0,1,0.0,0,0.0,0.0,0,0.0,257,14,4.828793774,18.35714286,32,12.16174496,12.873565869927742,104,0.4,6.387487769,33.51076313,0.029841159,67.46090356,1.404878717,0.545098039,0.046692607,0.112840467,0.0,0.097276265,0.042801556,0.031128405,0.124513619,0.315175097,0.221789883,1.421052632,47.27626459,0.916666667,0.655172414,0.36,0.363636364,0.25,0.407407407,0.263157895,1.536231884,0.023346304,0.031128405,0.038910506,0.054474708,0.105058366,9,0.428571429,0.142857143,0.090225564,0.007518797,0.0,0.007518797,0.195488722,0.007518797,0.0,0.052631579,0.0,0.045112782,0.0,0.0,0.0,0.007518797,0.69924812,0.278195489,9,0.197530864,4,0.25,1.0,0.0,0.0,4,0.53125,0.34375,0.0,0.25,0.3125,0.09375,0.666666667,0.666666667,0.0,0.0,0.0,0.0,0.543859649,0.666666667,0.070175439,0.210526316,0.333333333,0.122807018,0.0,0.175438596,0.105263158,0.070175439,0.0,0.32,0.545454545,19,0.404,7,0.149,1,0.021,1,0.021,1,0.021,8,0.17,0,0.0,0,0.0,10,0.213,47,0.182879377,3.357142857,18,0.07,4,63.75,3.25,31.212978070027216,1.5,59,3
id_ iVO7bH,1586,M,Lääne-Viru maakond,8.0,14,11.0,1.0,1,1.0,1,1.0,1.0,3,2.0,1.0,1,1.0,1,1.0,3,2.0,0.0,2,2.0,2,2.0,0.0,0,0.0,225,19,5.106666667,11.84210526,34,12.48861239,12.73330994152047,91,0.404444444,6.066666667,32.4047927,0.030859633,91.24685139,1.539107683,0.502222222,0.106666667,0.137777778,0.0,0.133333333,0.026666667,0.0,0.071111111,0.253333333,0.271111111,0.93442623,45.33333333,0.625,0.580645161,0.3,0.333333333,0.25,0.456140351,0.278688525,1.3125,0.057777778,0.071111111,0.084444444,0.124444444,0.142222222,9,0.556701031,0.072164948,0.175257732,0.0,0.010309278,0.010309278,0.06185567,0.030927835,0.010309278,0.06185567,0.0,0.020618557,0.0,0.0,0.0,0.0,0.639175258,0.360824742,8,0.315789474,4,0.375,0.916666667,0.083333333,0.0,5,0.5,0.5625,0.0625,0.375,0.0,0.0,0.68852459,0.606557377,0.081967213,0.0,0.0,0.0,0.524590164,0.672131148,0.032786885,0.327868852,0.196721311,0.131147541,0.0,0.196721311,0.180327869,0.016393443,0.0,0.333333333,0.333333333,16,0.457,4,0.114,1,0.029,0,0.0,2,0.057,8,0.229,0,0.0,0,0.0,4,0.114,35,0.155555556,1.842105263,9,0.04,4,55.75,4.5,30.543684562715523,2.6457513110645907,61,6
id_ GyfZhk,2518,N,Lääne-Viru maakond,21.0,23,22.0,2.0,0,3.0,3,3.0,3.0,3,3.0,2.0,3,2.0,3,3.0,3,3.0,3.0,3,1.0,2,1.5,2.0,3,2.5,324,18,5.533950617,18.0,48,16.3221224,17.25160493827161,141,0.435185185,7.833333333,40.16544866,0.024897021,110.7341772,2.981544967,0.490740741,0.117283951,0.12345679,0.0,0.141975309,0.018518519,0.00308642,0.151234568,0.206790123,0.237654321,0.87012987,41.51234568,0.605263158,0.725,0.130434783,0.833333333,0.224489796,0.47761194,0.480519481,1.905660377,0.061728395,0.092592593,0.101851852,0.12654321,0.200617284,9,0.361290323,0.264516129,0.212903226,0.0,0.012903226,0.012903226,0.006451613,0.0,0.025806452,0.064516129,0.0,0.019354839,0.0,0.0,0.0,0.025806452,0.851612903,0.141935484,7,0.208955224,6,0.131578947,0.763157895,0.236842105,0.0,7,0.06122449,0.346938776,0.265306122,0.183673469,0.081632653,0.12244898,0.649350649,0.61038961,0.038961039,0.0,0.0,0.0,0.506493506,0.649350649,0.064935065,0.454545455,0.051948052,0.090909091,0.025974026,0.207792208,0.142857143,0.064935065,0.0,0.391304348,1.0,6,0.5,1,0.083,0,0.0,0,0.0,0,0.0,1,0.083,0,0.0,1,0.083,3,0.25,12,0.037037037,0.666666667,2,0.006,7,46.142857142857146,2.4285714285714284,8.071112509614592,0.5345224838248488,20,1
id_ Xbmi8y,1867,N,Lääne-Viru maakond,20.0,22,21.0,2.0,1,2.0,2,2.0,2.0,3,2.5,2.0,3,2.0,2,2.0,2,2.0,3.0,3,3.0,3,3.0,2.0,3,2.5,218,14,5.821100917,15.57142857,49,16.26309292,18.359003931847976,124,0.568807339,8.398339722,51.38619906,0.019460478,260.9160784,2.694301256,0.555045872,0.068807339,0.151376147,0.0,0.100917431,0.013761468,0.0,0.105504587,0.302752294,0.247706422,1.222222222,44.03669725,0.733333333,0.818181818,0.272727273,1.0,0.434782609,0.575757576,0.518518519,1.711538462,0.073394495,0.082568807,0.096330275,0.133027523,0.174311927,10,0.278846154,0.298076923,0.153846154,0.019230769,0.0,0.019230769,0.067307692,0.028846154,0.019230769,0.057692308,0.0,0.057692308,0.0,0.0,0.0,0.009615385,0.701923077,0.288461538,10,0.272727273,4,0.333333333,0.866666667,0.133333333,0.0,6,0.304347826,0.130434783,0.130434783,0.347826087,0.260869565,0.130434783,0.574074074,0.574074074,0.0,0.0,0.0,0.018518519,0.37037037,0.537037037,0.055555556,0.222222222,0.166666667,0.12962963,0.074074074,0.240740741,0.222222222,0.018518519,0.0,0.227272727,0.333333333,3,0.429,0,0.0,0,0.0,1,0.143,1,0.143,0,0.0,0,0.0,0,0.0,2,0.286,7,0.032110092,0.5,3,0.014,4,54.0,3.25,23.93045479439676,1.5,47,3
id_ OhMzgf,2520,N,Lääne-Viru maakond,15.0,9,12.0,2.0,1,2.0,1,1.5,2.0,1,1.5,2.0,1,1.0,1,2.0,1,1.5,1.0,1,2.0,2,2.0,1.0,0,0.5,262,24,5.5,10.91666667,41,12.81553259,13.753759541984737,149,0.56870229,9.205250742,54.9372068,0.0182026,262.0,2.517544075,0.541984733,0.095419847,0.164122137,0.0,0.099236641,0.011450382,0.003816794,0.110687023,0.240458015,0.270992366,0.887323944,40.07633588,0.76,0.744186047,0.269230769,1.0,0.413793103,0.714285714,0.422535211,1.92,0.06870229,0.099236641,0.133587786,0.167938931,0.20610687,11,0.347457627,0.093220339,0.279661017,0.008474576,0.0,0.008474576,0.033898305,0.033898305,0.06779661,0.050847458,0.0,0.025423729,0.016949153,0.0,0.0,0.008474576,0.694915254,0.271186441,11,0.285714286,6,0.2,0.92,0.08,0.0,6,0.310344828,0.103448276,0.034482759,0.448275862,0.275862069,0.137931034,0.577464789,0.521126761,0.056338028,0.0,0.0,0.0,0.352112676,0.577464789,0.028169014,0.309859155,0.042253521,0.183098592,0.056338028,0.225352113,0.197183099,0.028169014,0.0,0.538461538,0.333333333,10,0.5,3,0.15,1,0.05,1,0.05,0,0.0,1,0.05,0,0.0,1,0.05,3,0.15,20,0.076335878,0.833333333,4,0.015,4,65.25,5.75,68.41722492667083,4.924428900898052,145,11
id_ onjvXY,1939,M,Lääne-Viru maakond,9.0,13,11.0,2.0,2,1.0,2,1.5,1.0,2,1.5,1.0,2,2.0,3,1.0,1,1.0,1.0,1,0.0,0,0.0,0.0,0,0.0,328,16,5.283536585,20.5,45,16.21864612,16.940365853658538,129,0.389570552,7.03387945,35.52330072,0.028150537,92.87209302,2.225670292,0.512269939,0.057926829,0.112804878,0.0,0.12804878,0.006097561,0.006097561,0.140243902,0.25304878,0.295731707,0.855670103,38.41463415,0.578947368,0.648648649,0.166666667,1.0,0.195652174,0.554216867,0.319587629,1.421875,0.070121951,0.085365854,0.100609756,0.12804878,0.161585366,12,0.353333333,0.08,0.213333333,0.006666667,0.0,0.006666667,0.06,0.04,0.053333333,0.08,0.006666667,0.046666667,0.006666667,0.0,0.0,0.053333333,0.84,0.16,11,0.180722892,6,0.157894737,0.894736842,0.105263158,0.0,7,0.130434783,0.47826087,0.02173913,0.043478261,0.282608696,0.173913043,0.536082474,0.432989691,0.103092784,0.0,0.020618557,0.0,0.371134021,0.536082474,0.0,0.298969072,0.092783505,0.051546392,0.0,0.360824742,0.360824742,0.0,0.0,0.595238095,0.0,20,0.426,0,0.0,0,0.0,1,0.021,2,0.043,5,0.106,0,0.0,2,0.043,17,0.362,47,0.143292683,2.9375,7,0.021,4,81.5,3.75,51.12403218317846,1.5,105,3
id_ VoS4Bo,3084,M,Lääne-Viru maakond,10.0,11,10.5,1.0,0,1.0,1,1.0,2.0,2,2.0,1.0,1,1.0,1,1.0,0,0.5,1.0,2,2.0,2,2.0,0.0,2,1.0,231,17,6.528138528,13.58823529,63,17.72671699,19.74577540106952,134,0.58008658,8.816552712,54.3905839,0.018385535,168.6798561,2.77241312,0.640692641,0.064935065,0.090909091,0.0,0.138528139,0.004329004,0.004329004,0.095238095,0.380952381,0.220779221,1.725490196,52.16450216,1.0,0.80952381,0.25,1.0,0.409090909,0.625,0.549019608,1.791044776,0.142857143,0.147186147,0.177489177,0.216450216,0.268398268,11,0.333333333,0.111111111,0.23015873,0.0,0.007936508,0.007936508,0.055555556,0.047619048,0.071428571,0.079365079,0.0,0.03968254,0.0,0.0,0.007936508,0.007936508,0.595238095,0.388888889,9,0.375,6,0.4,0.866666667,0.133333333,0.0,6,0.454545455,0.136363636,0.136363636,0.272727273,0.227272727,0.227272727,0.666666667,0.607843137,0.058823529,0.0,0.0,0.0,0.549019608,0.666666667,0.0,0.431372549,0.117647059,0.078431373,0.019607843,0.235294118,0.235294118,0.0,0.0,0.28125,1.0,21,0.553,1,0.026,4,0.105,2,0.053,0,0.0,7,0.184,0,0.0,0,0.0,3,0.079,38,0.164502165,2.235294118,4,0.017,5,45.2,3.2,16.70927885936434,0.8366600265340756,42,2
id_ 5xsznu,3291,M,Lääne-Viru maakond,26.0,22,24.0,3.0,1,3.0,3,3.0,3.0,3,3.0,3.0,3,3.0,3,3.0,3,3.0,3.0,1,2.0,2,2.0,3.0,3,3.0,358,27,6.363128492,13.25925926,57,16.5941721,19.77328988206084,181,0.505586592,9.566147249,50.70211907,0.019723042,238.4674457,2.659215781,0.553072626,0.108938547,0.11452514,0.0,0.100558659,0.019553073,0.0,0.145251397,0.293296089,0.215083799,1.363636364,47.34636872,0.769230769,0.609756098,0.222222222,0.714285714,0.269230769,0.619047619,0.428571429,2.38372093,0.06424581,0.086592179,0.103351955,0.153631285,0.223463687,10,0.244897959,0.178571429,0.260204082,0.0,0.0,0.0,0.040816327,0.015306122,0.091836735,0.102040816,0.0,0.030612245,0.0,0.0,0.005102041,0.015306122,0.647959184,0.331632653,9,0.352380952,8,0.435897436,0.923076923,0.051282051,0.025641026,9,0.211538462,0.403846154,0.096153846,0.288461538,0.134615385,0.076923077,0.597402597,0.584415584,0.012987013,0.0,0.064935065,0.0,0.402597403,0.597402597,0.012987013,0.376623377,0.090909091,0.116883117,0.0,0.311688312,0.272727273,0.012987013,0.025974026,0.361111111,1.0,12,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.2,15,0.041899441,0.555555556,3,0.008,5,70.8,5.2,17.00588133558505,0.4472135954999579,39,1
id_ igbrAm,1653,M,Lääne-Viru maakond,2.0,3,2.5,0.0,1,0.0,0,0.0,2.0,1,1.5,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,211,12,5.800947867,17.58333333,53,17.1224134,18.67034360189574,117,0.552380952,8.004760488,48.17308112,0.020758481,146.5558912,2.3,0.576190476,0.099526066,0.09478673,0.0,0.099526066,0.033175355,0.0,0.123222749,0.308056872,0.236966825,1.3,49.28909953,0.761904762,0.85,0.238095238,0.714285714,0.384615385,0.646153846,0.46,1.781818182,0.061611374,0.061611374,0.075829384,0.104265403,0.161137441,10,0.285714286,0.276785714,0.116071429,0.0,0.017857143,0.017857143,0.044642857,0.017857143,0.089285714,0.080357143,0.0,0.017857143,0.0,0.0,0.0,0.035714286,0.651785714,0.330357143,9,0.292307692,7,0.238095238,0.857142857,0.095238095,0.047619048,7,0.5,0.192307692,0.076923077,0.5,0.0,0.192307692,0.52,0.48,0.04,0.0,0.0,0.02,0.36,0.5,0.02,0.36,0.02,0.1,0.02,0.36,0.36,0.0,0.0,0.333333333,1.0,17,0.531,0,0.0,1,0.031,2,0.063,0,0.0,5,0.156,0,0.0,1,0.031,6,0.188,32,0.151658768,2.666666667,4,0.019,3,69.66666666666667,3.6666666666666665,37.52776749732568,2.516611478423583,75,5
id_ U4vhSg,1590,M,Lääne-Viru maakond,5.0,11,8.0,1.0,0,1.0,1,1.0,1.0,2,1.5,1.0,3,0.0,3,0.0,1,0.5,1.0,1,0.0,0,0.0,0.0,0,0.0,247,10,4.801619433,24.7,47,16.28082958,16.496441295546564,127,0.512295082,8.002304996,45.18001903,0.022133678,122.0,2.43512311,0.512295082,0.093117409,0.12145749,0.0,0.141700405,0.016194332,0.016194332,0.145748988,0.234817814,0.230769231,1.01754386,42.30769231,0.608695652,0.9,0.2,0.75,0.25,0.706896552,0.456140351,1.957446809,0.032388664,0.056680162,0.076923077,0.109311741,0.157894737,8,0.388429752,0.181818182,0.256198347,0.0,0.0,0.0,0.024793388,0.049586777,0.049586777,0.024793388,0.0,0.0,0.016528926,0.0,0.0,0.0,0.685950413,0.305785124,8,0.24137931,6,0.347826087,0.956521739,0.043478261,0.0,4,0.416666667,0.222222222,0.138888889,0.277777778,0.194444444,0.166666667,0.649122807,0.578947368,0.070175439,0.0,0.0,0.035087719,0.421052632,0.649122807,0.01754386,0.315789474,0.140350877,0.105263158,0.01754386,0.210526316,0.192982456,0.01754386,0.0,0.428571429,0.25,24,0.381,2,0.032,1,0.016,3,0.048,2,0.032,5,0.079,0,0.0,0,0.0,26,0.413,63,0.255060729,6.3,14,0.057,3,81.66666666666667,3.0,46.1121820491433,2.0,87,4
id_ wrzPhz,4013,M,Tartu maakond,14.0,15,14.5,0.0,2,1.0,3,2.0,3.0,1,2.0,2.0,1,2.0,2,2.0,3,2.5,3.0,2,0.0,0,0.0,1.0,1,1.0,213,13,6.375586854,16.38461538,63,19.05243187,21.15868544600939,140,0.657276995,9.592641938,68.49391465,0.014599837,270.2834043,2.951459149,0.671361502,0.154929577,0.117370892,0.0,0.084507042,0.004694836,0.004694836,0.089201878,0.323943662,0.211267606,1.533333333,53.28638498,0.818181818,0.88,0.277777778,1.0,0.473684211,0.68115942,0.622222222,1.872727273,0.103286385,0.122065728,0.192488263,0.244131455,0.319248826,11,0.368852459,0.114754098,0.18852459,0.008196721,0.016393443,0.024590164,0.049180328,0.008196721,0.106557377,0.090163934,0.0,0.040983607,0.0,0.0,0.0,0.008196721,0.614754098,0.385245902,10,0.376811594,9,0.454545455,0.878787879,0.121212121,0.0,5,0.315789474,0.052631579,0.157894737,0.157894737,0.263157895,0.368421053,0.6,0.577777778,0.022222222,0.0,0.0,0.0,0.511111111,0.6,0.044444444,0.355555556,0.155555556,0.044444444,0.044444444,0.266666667,0.155555556,0.044444444,0.066666667,0.222222222,0.0,6,0.333,0,0.0,1,0.056,0,0.0,0,0.0,0,0.0,0,0.0,1,0.056,10,0.556,18,0.084507042,1.384615385,3,0.014,4,52.25,3.0,39.10988792279176,2.160246899469287,87,5
id_ qfqLg3,2807,N,Tartu maakond,16.0,16,16.0,0.0,1,1.0,1,1.0,3.0,3,3.0,3.0,2,2.0,2,2.0,2,2.0,1.0,1,2.0,2,2.0,2.0,2,2.0,198,17,6.202020202,11.64705882,50,15.20799681,18.03518122400476,105,0.53030303,7.462025072,44.08871772,0.02268154,106.7008821,2.353393622,0.53030303,0.085858586,0.186868687,0.0,0.111111111,0.005050505,0.01010101,0.085858586,0.252525253,0.262626263,0.961538462,40.4040404,0.647058824,0.594594595,0.318181818,1.0,0.470588235,0.6,0.461538462,1.918918919,0.136363636,0.161616162,0.191919192,0.202020202,0.252525253,8,0.279069767,0.197674419,0.255813953,0.0,0.0,0.0,0.046511628,0.034883721,0.11627907,0.058139535,0.0,0.011627907,0.0,0.0,0.0,0.0,0.651162791,0.348837209,7,0.36,6,0.352941176,0.941176471,0.058823529,0.0,7,0.352941176,0.176470588,0.117647059,0.411764706,0.117647059,0.176470588,0.557692308,0.307692308,0.25,0.0,0.0,0.019230769,0.230769231,0.557692308,0.0,0.211538462,0.038461538,0.076923077,0.019230769,0.211538462,0.211538462,0.0,0.0,0.409090909,1.0,8,0.421,2,0.105,0,0.0,4,0.211,0,0.0,3,0.158,0,0.0,1,0.053,1,0.053,19,0.095959596,1.117647059,1,0.005,4,48.75,4.0,16.640813281407453,1.4142135623730951,39,3
